barcode,product,model,color,size,price
3247467002001,กระเป๋าหนัง,7467,ตาล,-,2590
3247467004005,กระเป๋าหนัง,7467,แทน,-,2590
3247482009009,กระเป๋าหนัง,7482,แดง,-,2590
3247485004001,กระเป๋าหนัง,7485,แทน,-,2590
3247508001123,กระเป๋าหนัง,7508,ดำ,-,2590
3247508002120,กระเป๋าหนัง,7508,ตาล,-,2590
3247508004124,กระเป๋าหนัง,7508,แทน,-,2590
3247618001129,กระเป๋าหนัง,7618,ดำ,-,2590
3247618002126,กระเป๋าหนัง,7618,ตาล,-,2590
3247618009125,กระเป๋าหนัง,7618,ส้ม,-,2590
3247618005127,กระเป๋าหนัง,7618,ม่วง,-,2590
3247622001122,กระเป๋าหนัง,7622,ดำ,-,2590
3247622002129,กระเป๋าหนัง,7622,ตาล,-,2590
3247622004123,กระเป๋าหนัง,7622,แทน,-,2590
3247626001128,กระเป๋าหนัง,7626,ดำ,-,2590
3247626002125,กระเป๋าหนัง,7626,ตาล,-,2590
3247626009124,กระเป๋าหนัง,7626,ส้ม,-,2590
3247626005126,กระเป๋าหนัง,7626,ม่วง,-,2590
3247630001121,กระเป๋าหนัง,7630,ดำ,-,2590
3247630002128,กระเป๋าหนัง,7630,ตาล,-,2590
3247630004122,กระเป๋าหนัง,7630,แทน,-,2590
3247631001120,กระเป๋าหนัง,7631,ดำ,-,2590
3247631002127,กระเป๋าหนัง,7631,ตาล,-,2590
3247631004121,กระเป๋าหนัง,7631,แทน,-,2590
3247632001006,กระเป๋าหนัง,7632,ดำ,-,2590
3247632002003,กระเป๋าหนัง,7632,ตาล,-,2590
3247632005004,กระเป๋าหนัง,7632,ม่วง,-,2590
3247638009006,กระเป๋าหนัง,7638,ส้ม,-,2590
3247639001122,กระเป๋าหนัง,7639,ดำ,-,2590
3247639004123,กระเป๋าหนัง,7639,แทน,-,2590
3247639009128,กระเป๋าหนัง,7639,เนื้อ,-,2590
3247640001005,กระเป๋าหนัง,7640,ดำ,-,2590
3247640004006,กระเป๋าหนัง,7640,แทน,-,2590
3247640009001,กระเป๋าหนัง,7640,เนื้อ,-,2590
3247652001123,กระเป๋าหนัง,7652,ดำ,-,2590
3247652004124,กระเป๋าหนัง,7652,แทน,-,2590
3247652009129,กระเป๋าหนัง,7652,เนื้อ,-,2590
3247661001121,กระเป๋าหนัง,7661,ดำ,-,2590
3247661004122,กระเป๋าหนัง,7661,แทน,-,2590
3247665001127,กระเป๋าหนัง,7665,ดำ,-,2590
3247665004128,กระเป๋าหนัง,7665,แทน,-,2590
3247665009123,กระเป๋าหนัง,7665,เนื้อ,-,2590
3247665007129,กระเป๋าหนัง,7665,กรม,-,2590
3248025001009,กระเป๋าหนัง,8025,ดำ,-,2590
3248315001122,กระเป๋าหนัง,8315,ดำ,-,2590
3248315004123,กระเป๋าหนัง,8315,แทน,-,2590
3248080002003,กระเป๋าหนัง,8080,ตาล,-,2590
3249333001125,กระเป๋าหนัง,9333,ดำ,-,2590
3249333002122,กระเป๋าหนัง,9333,ตาล,-,2590
3249333004126,กระเป๋าหนัง,9333,แทน,-,2590
3249333011124,กระเป๋าหนัง,9333-1,ดำ,-,2590
3249333012121,กระเป๋าหนัง,9333-1,ตาล,-,2590
3249333014125,กระเป๋าหนัง,9333-1,แทน,-,2590
3249340001002,กระเป๋าหนัง,9340,ดำ,-,2590
3249351001121,กระเป๋าหนัง,9351,ดำ,-,2590
3249351002128,กระเป๋าหนัง,9351,ตาล,-,2590
3249351004122,กระเป๋าหนัง,9351,แทน,-,2590
3249351009127,กระเป๋าหนัง,9351,แดง,-,2590
3249401001125,กระเป๋าหนัง,9401,ดำ,-,2590
3249401004126,กระเป๋าหนัง,9401,แทน,-,2590
3240081201126,กระเป๋าหนัง,00812,ดำ,-,2590
3240081202123,กระเป๋าหนัง,00812,ตาล,-,2590
3240081209122,กระเป๋าหนัง,00812,ส้ม,-,2590
